"Date","Local.Site.Name","County","meanlatitude","meanlongitude","Month","Year","PM2.5","Ozone"
2024-01-24,"Millbrook School","Wake",35.856111,-78.574167,1,2024,57,32
2024-01-24,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,28,NA
2024-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,38,NA
2024-01-25,"Bryson City","Swain",35.434767,-83.442133,1,2024,10,NA
2024-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,15.5,NA
2024-01-25,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,14,NA
2024-01-25,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,17,NA
2024-01-25,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,2,NA
2024-01-25,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,10.5,22
2024-01-25,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,15.5,NA
2024-01-25,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,17,NA
2024-01-25,"Linville Falls","Avery",35.972347,-81.933072,1,2024,5,NA
2024-01-25,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,17,NA
2024-01-25,"Millbrook School","Wake",35.856111,-78.574167,1,2024,19.5,23
2024-01-25,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,18,NA
2024-01-25,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,6,NA
2024-01-26,"Bryson City","Swain",35.434767,-83.442133,1,2024,12,NA
2024-01-26,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,23,NA
2024-01-26,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,48,NA
2024-01-26,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,28,NA
2024-01-26,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,24,27
2024-01-26,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,36,NA
2024-01-26,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,18,NA
2024-01-26,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,29,NA
2024-01-26,"Millbrook School","Wake",35.856111,-78.574167,1,2024,35,22
2024-01-26,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,31,NA
2024-01-26,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,27,NA
2024-01-27,"Bryson City","Swain",35.434767,-83.442133,1,2024,17,NA
2024-01-27,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,30.5,NA
2024-01-27,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,37,NA
2024-01-27,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,42,NA
2024-01-27,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,34,24
2024-01-27,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,24,NA
2024-01-27,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,19,NA
2024-01-27,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,24,NA
2024-01-27,"Millbrook School","Wake",35.856111,-78.574167,1,2024,35,26
2024-01-27,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,27,NA
2024-01-27,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,44,NA
2024-01-28,"Bryson City","Swain",35.434767,-83.442133,1,2024,0,NA
2024-01-28,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,15,NA
2024-01-28,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,8,NA
2024-01-28,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,30,NA
2024-01-28,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,0,NA
2024-01-28,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,8.5,23
2024-01-28,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,5.5,NA
2024-01-28,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,14,NA
